#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,398.8,218.8,160.7,199.5,217.4,367.8,442.1,494.2,533.1,574.3,619.2,676.4,782.9,1716.6,8256.4,29838.4,30000
read,391.9,205.8,148.8,197.9,214.4,358.1,430.1,479.2,520.5,567.7,621.6,686.8,799.9,1685.4,6222.0,34997.8,35000
read,407.4,210.7,160.7,201.0,219.1,385.0,455.9,499.1,534.7,578.8,632,701.5,808.5,1265.4,7877.5,39812.0,40000
read,392.3,210.7,148.8,197.7,213.9,362.1,431.3,475.8,514.1,560.9,621.9,700.1,805.9,1179.8,6891.4,44670.4,45000
read,405.6,260.2,148.8,195.1,211.4,382.4,457.7,500.9,533.9,574.6,627.6,693.7,814.4,3363.8,10055.1,49985.4,50000
read,400.9,207.7,148.8,194.9,210.8,376.2,454.8,499.2,532.6,573.8,628.1,705.9,850.9,1272.1,5922.9,54959.3,55000
read,394.6,234.2,148.8,193.9,209.6,366.8,445.2,489.3,521.9,560.9,613.3,685.9,818.1,1345.6,9918.8,60082.2,60000
read,383.8,208.9,148.8,193.7,208.6,355.8,430.7,473.5,505.8,544.6,596,672.9,798.8,1448,7722.1,64917.4,65000
read,392.0,271.3,148.8,195.3,211.1,359.8,440.6,485.7,518.1,554.8,603.9,676.0,804.6,1679,8694.7,70054.9,70000
read,390.0,191.8,148.8,197.9,215.0,363.8,442.7,486.9,517.9,552.0,596.5,664.8,781.1,1110.6,6888.8,75108.0,75000
read,384.3,227.4,148.8,197.9,214.0,356.2,428.4,469.6,500.7,536.7,583.5,659.3,801.2,1393.4,10274.5,79895.2,80000
read,382.0,181.1,148.8,200.2,217.7,356.7,427.5,467.7,497.6,532.7,578.2,644.1,768.3,1038.6,6725.2,84934.6,85000
read,381.9,184.4,148.8,203.4,221.1,356.7,422.9,461.4,490.5,525.1,570.3,639.3,780.4,1143.2,6707.8,90272.6,90000
read,689.4,348.5,160.7,441.2,467.9,572.5,684.2,919.9,974.4,1018.2,1060.2,1104.9,1201.4,3585.6,12470.1,92770.2,95000
read,708.6,380.4,148.8,460.7,484.9,584.0,670.7,955.2,1014.0,1052.9,1090.0,1148.1,1245.5,4024.1,13953.6,91844.7,100000
read,723.5,358.6,160.7,459.2,486.5,603.8,703.9,965.0,1030.7,1074.0,1121.1,1174.3,1276.0,2275.5,15051.9,90306.1,105000
read,685.7,345.8,160.7,433.7,465.7,575.1,665.3,887.0,972.6,1028.9,1071.6,1128.1,1224.7,2302.4,13726.4,95017.8,110000